Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:137,Data class,Data type,Answers
ed520e2d-acb4-4ea9-8ae5-16ca27ace96d,,Date of Sample Collection,Date of Sample Collection,Date of Sample Collection,,,,Question,Date,
9fc84874-ec1c-4f15-9e0d-5a73dd416667,,Time Sample Collected,Time,Time Sample Collected,,,,Question,Numeric,
c7b68a75-903e-4740-9482-bffc01fb844a,,"Sample Type ,DBS",DBS,"Sample Type ,DBS",,,,Misc,N/A,
f0da3750-83bc-400e-b3f0-a0ced2e7e47f,,"Sample Type ,Plasma",Plasma,"Sample Type ,Plasma",,,,Misc,N/A,
ff67ca7f-4e07-42f3-884e-7e36878b344e,,"Sample Type,Whole Blood",Whole Blood,"Sample Type,Whole Blood",,,,Misc,N/A,
7b532bef-9232-4675-a359-7b1310b66d3a,,Sample Type,Sample Type,Sample Type,,,,Question,Coded,"Sample Type ,DBS ; Sample Type ,Plasma;Sample Type,Whole Blood"
a7f1b0ac-9825-4018-b0b8-bae663f77133,,Sample Information,Sample Information,Sample Information,,,,Misc,N/A,
44dba186-7507-41d4-811f-79eae073cdcc,,Date Of Treatment Initiation,Date Of Treatment Initiation,Date Of Treatment Initiation,,,,Question,Date,
69b8377b-073a-476c-a6ab-1b3869c78202,,Current Regimen,Current Regimen,Current Regimen,,,,Question,Coded,1a = AZT/3TC+EFV
30f1f347-d72c-4920-9962-6d55d138e8e5,,Date of Initiation of Current Regimen,Date of Initiation of Current Regimen,Date of Initiation of Current Regimen,,,,Question,Date,
82a03cc2-89aa-4c6a-85d4-66bba07a6334,,Good > 95 %,Good > 95 %,Good > 95 %,,,,Misc,N/A,
53b5adc3-a342-48fc-bff9-5981db672d06,,Fair  85 - 95 %,Fair  85 - 95 %,Fair  85 - 95 %,,,,Misc,N/A,
a0173731-95aa-4380-ac3b-387fc794174f,,Poor > 85 %,Poor > 85 %,Poor > 85 %,,,,Misc,N/A,
e126652c-8d02-4c4b-a49d-5bac03eb4d03,,ARV Adherence,ARV Adherence,ARV Adherence,,,,Question,Coded,Good > 95 % ; Fair  85 - 95 % ;Poor > 85 % 
7890e12b-59a4-49bb-ab2a-c30f52b15380,,Treatment Information,Treatment Information,Treatment Information,,,,Misc,N/A,
eaf6353a-afaa-4444-ba6c-bc0fbca2e335,,Routine Monitoring,Routine Monitoring,Routine Monitoring,,,,Question,Boolean,
0ffdbc2e-8883-4648-905a-68ceab83bb6f,,"Last VL Date , Routine Monitoring",Last VL Date,"Last VL Date , Routine Monitoring",,,,Misc,Date,
db923866-cfc6-47a5-8ae4-1e37d75db195,,"Viral Load Value , Routine Monitoring",Value,"Viral Load Value , Routine Monitoring",,,,Question,Numeric,
53203e8a-d999-4795-a03d-9297978138b4,,Routine Monitoring Information,Routine Monitoring Information,Routine Monitoring Information,,,,Misc,N/A,
8c59240a-aacd-4a0a-8007-eca6cfb6e2b5,,Repeat VL Test After Suspected Treatment Failure an Adherence?,Repeat VL Test After Suspected Treatment Failure an Adherence?,Repeat VL Test After Suspected Treatment Failure an Adherence?,,,,Question,Boolean,
